anime_id,anime_url,title,synopsis,main_pic,type,source_type,num_episodes,status,start_date,end_date,season,studios,genres,score,score_count,score_rank,popularity_rank,members_count,favorites_count,watching_count,completed_count,on_hold_count,dropped_count,plan_to_watch_count,total_count,score_10_count,score_09_count,score_08_count,score_07_count,score_06_count,score_05_count,score_04_count,score_03_count,score_02_count,score_01_count,clubs,pics
34430,https://myanimelist.net/anime/34430/Detective_Conan_Movie_21__The_Crimson_Love_Letter,Detective Conan Movie 21: The Crimson Love Letter,A bombing case at Nichiuri TV in autumn. The Satsuki Cup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35798,https://myanimelist.net/anime/35798/Detective_Conan_Movie_22__Zero_the_Enforcer,Detective Conan Movie 22: Zero the Enforcer,In the film's story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20889,https://myanimelist.net/anime/20889/Kuro_no_Su__Chronus,Kuro no Su: Chronus,For as long as he can remember,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,https://myanimelist.net/anime/1441/Ginga_Tetsudou_no_Yoru,Ginga Tetsudou no Yoru,Giovanni is a young boy who lives on the outskirts of a small rustic village. His mother is bedridden and his father has not returned home since leaving to work on a fishing boat. An outcast at school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29989,https://myanimelist.net/anime/29989/Kaze_no_Kokyuu__Animation_ni_Yoru_Oufuku_Shokan,Kaze no Kokyuu: Animation ni Yoru Oufuku Shokan,Short animation by Keiichi Tanaami.,https://cdn.myanimelist.net/images/anime/6/73776.jpg,Movie,Original,1,Finished Airing,3/20/2001 0:00,3/20/2001 0:00,,,Avant Garde,3.68,240,12201,13613,450,0,9,334,6,29,72,450,9,2,3,10,17,38,40,32,46,43,14045|74845,https://cdn.myanimelist.net/images/anime/6/73776.jpg
4985,https://myanimelist.net/anime/4985/Mahou_Shoujo_Lyrical_Nanoha__The_Movie_1st,Mahou Shoujo Lyrical Nanoha: The Movie 1st,Nanoha Takamachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6831,https://myanimelist.net/anime/6831/Hinomaru_Hatanosuke__Bakemonoyashiki_no_Maki,Hinomaru Hatanosuke: Bakemonoyashiki no Maki,Short film where the hero Hatanosuke battles ghosts and monsters in a haunted house.,https://cdn.myanimelist.net/images/anime/4/15834.jpg,Movie,Original,1,Finished Airing,3/20/1935 0:00,3/20/1935 0:00,,,Supernatural,4.55,508,12035,11332,1032,1,16,767,8,46,195,1032,8,4,17,43,79,128,91,49,46,43,14045|34583,https://cdn.myanimelist.net/images/anime/4/15834.jpg
32870,https://myanimelist.net/anime/32870/Kuroko_no_Basket_Movie_2__Winter_Cup_-_Namida_no_Saki_e,Kuroko no Basket Movie 2: Winter Cup - Namida no Saki e,Second of three compilation films of the franchise.  Seirin faces off with Yosen in the quarter finals of the Winter Cup. Facing Yosen’s impenetrable defense with Murasakibara at its center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,https://myanimelist.net/anime/780/Detective_Conan_Movie_02__The_Fourteenth_Target,Detective Conan Movie 02: The Fourteenth Target,A mysterious attacker has appeared and is assaulting people whose names contain a number from the standard deck of cards in descending order. When Conan Edogawa points out that all the victims are related to the now famous detective Kogorou Mouri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5875,https://myanimelist.net/anime/5875/Kobutori_1929,Kobutori (1929),In Kobu-Tori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35191,https://myanimelist.net/anime/35191/Free_Movie_2__Timeless_Medley_-_Yakusoku,Free! Movie 2: Timeless Medley - Yakusoku,Rin Matsuoka’s childhood friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33845,https://myanimelist.net/anime/33845/Free_Movie_1__Timeless_Medley_-_Kizuna,Free! Movie 1: Timeless Medley - Kizuna,Haruka Nanase has reconciled with his rival Rin Matsuoka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10092,https://myanimelist.net/anime/10092/Break_Blade_6__Doukoku_no_Toride,Break Blade 6: Doukoku no Toride,Sixth and final Break Blade movie.,https://cdn.myanimelist.net/images/anime/4/68089.jpg,Movie,Manga,1,Finished Airing,3/26/2011 0:00,3/26/2011 0:00,,Production I.G|Xebec,Action|Fantasy|Mecha|Military|Shounen,7.7,31663,1099,2528,52316,24,533,43815,327,209,7432,52316,2809,5475,10465,8250,2881,1117,416,143,63,44,807|20608|14122|10978|40745|32959|79626|23440|10653|18469|36983|25937|32647|10726|25706|25978|71260|26754|58251|69493|31603|41829|70132,https://cdn.myanimelist.net/images/anime/4/68089.jpg
1379,https://myanimelist.net/anime/1379/Kino_no_Tabi__The_Beautiful_World_-_Nanika_wo_Suru_Tame_ni_-_Life_Goes_On,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,After running away from the grim future that awaited her back in her home country,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,https://myanimelist.net/anime/950/Street_Fighter_Alpha__Generations,Street Fighter Alpha: Generations,When Ryu returns to pay homage to his deceased mentor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9976,https://myanimelist.net/anime/9976/Wakaranai_Buta,Wakaranai Buta,A huge pig is lying down in front of a house. Father,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
